level,axis,subgroup,n,undertriage_rate,severe_undertriage_rate,overtriage_rate,macro_f1,source
1,age_group,51-65,105580,0.1425,0.0046,0.1413,0.5812,standard
1,age_group,66-80,78760,0.1202,0.0032,0.1619,0.5394,standard
1,age_group,18-30,81034,0.1894,0.009,0.0874,0.5984,standard
1,age_group,31-50,106986,0.1747,0.0074,0.1125,0.5818,standard
1,age_group,80+,45665,0.1107,0.0025,0.1713,0.5297,standard
1,sex,F,227007,0.1511,0.0055,0.1267,0.5845,standard
1,sex,M,191093,0.1534,0.0059,0.1353,0.5961,standard
1,race,WHITE,224969,0.1442,0.0053,0.1372,0.583,standard
1,race,ASIAN,7215,0.1777,0.0087,0.107,0.6053,standard
1,race,OTHER,106728,0.1607,0.0062,0.122,0.6084,standard
1,race,BLACK,76118,0.1599,0.0057,0.1264,0.578,standard
1,race,HISPANIC,3070,0.1873,0.0091,0.1098,0.5582,standard
