level,axis,subgroup,n,undertriage_rate,severe_undertriage_rate,overtriage_rate,macro_f1,source
3,age_group+sex+race,18-30|M|ASIAN,1228,0.2231,0.0171,0.0904,0.5759,standard
3,age_group+sex+race,18-30|M|HISPANIC,265,0.2226,0.0189,0.0943,0.5084,standard
3,age_group+sex+race,31-50|M|ASIAN,793,0.2194,0.0126,0.0845,0.664,standard
3,age_group+sex+race,18-30|M|OTHER,9410,0.218,0.0106,0.0938,0.6014,standard
2,age_group+sex,18-30|M,32985,0.2116,0.0106,0.0939,0.5958,standard
2,age_group+race,18-30|HISPANIC,718,0.2103,0.0153,0.0822,0.5151,standard
3,age_group+sex+race,18-30|M|WHITE,17280,0.2082,0.0106,0.0955,0.5815,standard
3,age_group+sex+race,18-30|M|BLACK,4802,0.2076,0.0085,0.0891,0.623,standard
2,age_group+race,31-50|ASIAN,1968,0.2043,0.0081,0.0894,0.574,standard
3,age_group+sex+race,18-30|F|HISPANIC,453,0.2031,0.0132,0.0751,0.5101,standard
3,age_group+sex+race,31-50|M|HISPANIC,534,0.2004,0.0094,0.1105,0.6326,standard
2,age_group+race,31-50|HISPANIC,1192,0.198,0.0084,0.0982,0.5864,standard
3,age_group+sex+race,31-50|F|HISPANIC,658,0.196,0.0076,0.0881,0.4723,standard
3,age_group+sex+race,31-50|F|ASIAN,1175,0.194,0.0051,0.0928,0.5124,standard
2,age_group+race,18-30|OTHER,23159,0.1935,0.009,0.0837,0.6067,standard
2,age_group+race,18-30|ASIAN,2853,0.1931,0.0126,0.0876,0.5888,standard
1,age_group,18-30,81034,0.1894,0.009,0.0874,0.5984,standard
2,age_group+race,18-30|BLACK,12945,0.189,0.0079,0.0827,0.6022,standard
2,sex+race,M|HISPANIC,1359,0.1884,0.0096,0.128,0.5792,standard
1,race,HISPANIC,3070,0.1873,0.0091,0.1098,0.5582,standard
